gate_structure,cv_threshold,opportunity_threshold,route_by_seed,issued_safety,availability,unsafe_issued_rate,mean_excess_time_budget,mean_realized_excess_review_time,mean_realized_budget_overrun,mean_realized_union_time_fraction,passed
always_score_time,0.5,0.4,"{0: 'score_time', 1: 'score_time', 2: 'score_time'}",0.9966666666666667,0.9888888888888889,0.0011235955056179776,0.04268278965129359,0.04238281583560931,-0.001130414739310126,0.15317443867325634,True
always_risk_per_second,0.5,0.4,"{0: 'risk_per_second', 1: 'risk_per_second', 2: 'risk_per_second'}",1.0,1.0,0.0,0.05665,0.0550358098915705,-0.00563316482321153,0.11447007413115966,False
cv_only,0.5,0.4,"{0: 'score_time', 1: 'score_time', 2: 'score_time'}",0.9966666666666667,0.9888888888888889,0.0011235955056179776,0.04268278965129359,0.04238281583560931,-0.001130414739310126,0.15317443867325634,True
opportunity_only,0.5,0.4,"{0: 'score_time', 1: 'score_time', 2: 'score_time'}",0.9966666666666667,0.9888888888888889,0.0011235955056179776,0.04268278965129359,0.04238281583560931,-0.001130414739310126,0.15317443867325634,True
cv_and_opportunity,0.5,0.4,"{0: 'score_time', 1: 'score_time', 2: 'score_time'}",0.9966666666666667,0.9888888888888889,0.0011235955056179776,0.04268278965129359,0.04238281583560931,-0.001130414739310126,0.15317443867325634,True
